Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-321.08887	106.95226	-176.35583	-465.12225	-342.85464	0.7863629	-341.3713	-344.14197	1000.0	1000.0	5000	-0.23475459	0.94987494	4.3570223	-5.9766445	-0.4056614	0.45050246	45.54596018791199
2	-302.5617	23.435076	-277.8736	-332.27094	-76.16991	0.5749886	-74.77273	-76.97853	1000.0	1000.0	10000	-1.7140325	1.5454841	4.1432257	-8.9511595	1.1623328	0.72275877	87.53776526451111
3	-49.76585	51.58363	5.057032	-134.32059	-242.22144	1.9417645	-239.34167	-246.30646	1000.0	1000.0	15000	-4.0665016	2.4199996	3.1268914	-14.780942	3.6352282	0.79487705	127.88074612617493
4	-162.71901	94.18073	-37.775593	-293.02036	-29.001984	1.3769872	-26.371283	-31.181915	1000.0	1000.0	20000	-7.5604925	3.7797506	0.35723382	-22.768799	7.1508985	0.9800957	172.31172728538513
5	-72.535995	88.298294	-18.905779	-248.67235	-343.3403	85.911316	-85.65198	-374.1458	1000.0	1000.0	25000	-10.858211	5.4357214	-0.86138463	-28.589209	10.396429	1.4010346	212.9381103515625
6	-165.31079	140.582	-15.737649	-416.49203	-49.572666	0.7956678	-48.44593	-51.18977	1000.0	1000.0	30000	-15.169584	7.3487773	-2.0343847	-39.460556	14.709271	2.0422716	256.16900300979614
7	-24.874767	27.035954	2.7888813	-75.94677	-35.63697	2.5669358	-30.521492	-38.545773	1000.0	1000.0	35000	-19.951925	9.5028305	-4.968172	-50.850483	19.423447	3.003125	296.02190113067627
8	-77.37633	57.46712	-38.70161	-190.64449	-6.157191	19.173882	12.502544	-58.876003	1000.0	1000.0	40000	-25.237152	11.835374	-7.8938236	-65.96601	24.690477	4.139474	334.2748453617096
9	5.4814224	107.85159	214.98026	-80.27488	-31.955292	33.70002	2.1816614	-91.923416	1000.0	1000.0	45000	-31.723515	13.982841	-11.085125	-81.06175	31.194294	5.435914	373.9807062149048
10	-18.06815	12.970847	0.44639373	-39.149258	32.77583	27.362888	91.53087	-13.956623	1000.0	1000.0	50000	-39.06931	15.680754	-17.294151	-97.01633	38.394413	7.595489	425.0056622028351
11	-32.50325	57.039234	42.298878	-111.71149	-36.564404	1.0162919	-34.473885	-38.21973	1000.0	1000.0	55000	-47.774136	17.348143	-21.703903	-114.87475	47.252033	8.105486	475.90100026130676
12	-17.804966	17.935728	7.3823357	-43.246155	-63.18258	96.52764	6.4553833	-260.88165	1000.0	1000.0	60000	-58.499817	19.224525	-34.133022	-136.35391	57.940655	11.12071	525.3972070217133
13	-52.723274	89.371475	16.724207	-229.22514	-14.378519	8.7424965	2.463559	-24.270718	1000.0	1000.0	65000	-71.328415	21.762268	-42.877422	-163.59796	70.69976	14.672144	566.3752942085266
14	-122.481766	194.09148	-2.5535166	-509.42584	-86.07349	228.9887	-4.199173	-772.9284	1000.0	1000.0	70000	-87.233864	24.125309	-51.638924	-192.89154	86.72385	19.189526	610.8941512107849
15	-151.08481	135.15608	-21.793036	-385.04965	-59.374947	20.840935	-23.660389	-88.562996	1000.0	1000.0	75000	-106.485435	26.518436	-62.125137	-227.87132	105.815414	24.948399	651.495982170105
16	-114.598915	68.112076	-40.816517	-242.58868	-181.99017	3.9913437	-175.2897	-188.92651	1000.0	1000.0	80000	-130.67914	31.889845	-85.5855	-274.81287	129.88248	36.82012	694.1309452056885
17	-401.395	326.93796	-72.04615	-1028.6473	-107.853065	91.53036	-6.206139	-277.9505	1000.0	1000.0	85000	-158.00034	35.371296	-96.97147	-317.50586	157.34006	51.01339	735.2736902236938
18	-214.1501	181.09763	-38.209522	-450.34644	-777.43567	44.156612	-699.3063	-860.0255	1000.0	1000.0	90000	-189.24779	37.722233	-112.71714	-361.68658	188.09685	64.06985	772.9552481174469
19	-346.84314	260.09628	-37.161716	-821.6076	-102.428246	144.9743	2.7878795	-418.5405	1000.0	1000.0	95000	-225.59137	40.083305	-154.80026	-416.29282	224.5735	84.818565	815.4819030761719
