Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-2.7336087	67.93297	107.54283	-95.5966	453.57144	-47.799232	0.07821201	-47.318737	-47.828724	112000	2.9802322e-08	3179.6318	-0.009893391	-69.8457	1.0943757	0.009231616	0.08825	79.0	149.9184708595276
28	34.20823	55.902832	116.579346	-44.675777	556.2857	-46.56449	0.16119547	-45.177956	-46.620876	116000	-4.374981e-08	3391.7756	-0.010683727	-180.76196	1.1264418	0.008973945	0.1115	79.0	157.11606812477112
29	9.697353	126.14167	102.12023	-207.21887	838.0	-44.597744	0.06456574	-43.998554	-44.616974	120000	7.510185e-09	4852.333	-0.0071357097	-86.06006	1.0460256	0.009370082	0.05525	79.0	165.3636269569397
30	64.34955	75.58434	138.946	-61.890606	837.0	-43.094414	0.12698926	-42.264324	-43.139126	124000	1.1086464e-08	3912.368	-0.009267516	-156.8833	1.039059	0.00883366	0.10775	79.0	174.41238808631897
31	42.42601	52.70655	122.13079	-6.8615055	799.25	-41.00079	0.99179256	-31.934511	-41.206497	128000	2.861023e-09	2159.4968	-0.010945094	-211.54895	1.0381558	0.0077950708	0.07575	79.0	181.87542486190796
32	59.5755	36.99397	92.59065	0.23385248	816.75	-38.58293	2.5616522	-15.639729	-39.48624	132000	-1.8119811e-08	2196.556	-0.0055006873	-603.26245	1.0799218	0.0050353254	0.0415	79.0	190.5736119747162
33	63.10456	47.158226	130.8605	1.0565615	685.6	-23.273901	8.83297	-8.485225	-37.295513	136000	6.6757204e-09	2345.6064	-0.00956849	-921.68335	1.0504137	0.00780936	0.11775	79.0	198.1650869846344
34	87.4414	58.994026	125.88172	-14.609041	822.0	-10.6335945	1.8568338	0.2617203	-15.130743	140000	3.3378602e-09	1966.2316	-0.0059655965	-536.7788	1.0149531	0.008910568	0.04625	79.0	205.97634601593018
35	65.696396	63.19553	114.943665	-42.314274	812.25	8.992282	6.0535216	28.504696	0.12769073	144000	9.536743e-09	1562.4907	-0.010059464	-468.20557	1.0359957	0.0071599474	0.05625	79.0	215.02930402755737
36	61.11483	78.53508	123.28429	-90.419044	731.2	17.505562	14.86629	35.303562	-3.9871628	148000	-5.662441e-09	3357.8425	-0.009066423	-974.4136	0.95591176	0.0070883017	0.15925	79.0	222.52220582962036
37	81.079834	21.607086	110.154755	51.125046	1000.0	12.986766	12.276308	34.643032	-3.9782798	152000	-2.3066997e-08	857.54706	-0.009047399	-413.63873	0.9989964	0.004946497	0.06825	79.0	230.66540598869324
38	73.19301	57.814667	128.00287	-23.985071	831.0	8.690679	16.001904	35.06631	-4.88264	156000	-3.5762787e-10	1046.884	-0.009265947	-96.38281	1.0626811	0.008789671	0.0705	79.0	240.08659887313843
39	121.96438	26.778591	161.32849	86.26444	1000.0	6.4389057	14.875859	35.905567	-4.6197634	160000	-1.9073486e-08	859.4529	-0.0061562452	-245.67584	1.074288	0.003592749	0.04525	79.0	248.8999490737915
40	32.29254	60.584988	122.41795	-40.690826	744.8	15.788071	17.57941	37.30855	-4.6213045	164000	-1.4305115e-09	1957.6165	-0.007805011	-374.11328	1.0192913	0.011426552	0.12875	79.0	256.29109287261963
41	126.64266	41.61346	195.11455	86.330376	855.0	7.8030186	15.770803	36.62101	-5.021125	168000	5.972385e-08	1365.8246	-0.0060124276	-187.4563	1.014354	0.0103154285	0.147	79.0	264.4168179035187
42	44.56073	76.32625	117.90689	-81.11179	834.5	17.94218	19.717361	38.10011	-4.7839026	172000	-1.26361845e-08	1866.2528	-0.008513652	-538.1168	1.0310411	0.009572583	0.117	79.0	272.82465410232544
43	95.155914	36.50622	144.0663	41.093163	906.75	18.14029	16.205761	37.40786	-4.502693	176000	1.3291836e-08	1175.7917	-0.0058026887	-391.33813	0.9687719	0.017987415	0.3245	10.0	281.7224838733673
44	24.8787	100.14629	172.32288	-108.924164	833.25	27.061485	13.576962	37.85116	-3.310194	180000	-3.218651e-09	4589.155	-0.004654425	-654.61206	0.9861198	0.0055240984	0.0435	79.0	290.3968188762665
45	63.57437	10.099946	77.76037	51.013016	973.0	5.002476	6.900947	25.873903	-4.9492	184000	-6.556511e-09	1464.5658	-0.0042335056	-819.38385	0.9325049	0.006107928	0.07025	79.0	301.503741979599
46	2.7867765	67.2479	85.26342	-86.06243	893.5	24.787561	9.037741	36.97038	3.4152672	188000	2.8371812e-08	2567.275	-0.0077984664	-872.2179	1.0062878	0.008257146	0.0645	79.0	311.0751619338989
47	44.404064	48.12478	120.11568	-3.0822747	1000.0	1.9366068	2.5309284	10.900171	-2.7931025	192000	9.894371e-09	568.80084	-0.0063025374	-88.72003	1.031138	0.0052521965	0.0745	79.0	320.8487060070038
48	-3.2376294	48.247944	49.631683	-79.79541	924.25	7.655154	2.3120859	14.825517	2.4810042	196000	7.867813e-09	1982.6055	-0.010394321	-150.71643	1.0336839	0.010604911	0.09325	79.0	330.7398729324341
49	38.230568	23.007505	60.728844	-0.1199826	1000.0	-1.6333443	1.7871705	5.357685	-4.35397	200000	-4.7683715e-09	478.2747	-0.008210662	-164.65506	1.0710282	0.011969993	0.108	79.0	340.9489998817444
